user_id,item_id,label,features
user_001,item_001,1.0,"{""category"": ""electronics"", ""price"": 199.99}"
user_001,item_002,0.0,"{""category"": ""books"", ""price"": 24.99}"
user_001,item_003,1.0,"{""category"": ""electronics"", ""price"": 79.99}"
user_002,item_001,1.0,"{""category"": ""electronics"", ""price"": 199.99}"
user_002,item_004,1.0,"{""category"": ""clothing"", ""price"": 49.99}"
user_002,item_005,0.0,"{""category"": ""home"", ""price"": 149.99}"
user_003,item_002,1.0,"{""category"": ""books"", ""price"": 24.99}"
user_003,item_003,0.0,"{""category"": ""electronics"", ""price"": 79.99}"
user_003,item_006,1.0,"{""category"": ""books"", ""price"": 19.99}"
user_004,item_001,0.0,"{""category"": ""electronics"", ""price"": 199.99}"
user_004,item_004,1.0,"{""category"": ""clothing"", ""price"": 49.99}"
user_004,item_007,1.0,"{""category"": ""clothing"", ""price"": 89.99}"
user_005,item_002,1.0,"{""category"": ""books"", ""price"": 24.99}"
user_005,item_005,1.0,"{""category"": ""home"", ""price"": 149.99}"
user_005,item_008,0.0,"{""category"": ""electronics"", ""price"": 399.99}"
